id,title,expected_category,predicted_category,category_correct,expected_priority,predicted_priority,priority_correct,answer_quality_score,answer_quality_notes
T020,Błąd eksportu danych z ERP do Excela,Aplikacje biznesowe,Aplikacje biznesowe,True,Niski,Średni,False,5,Dopasowano 3/6 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T021,Aplikacja projektowa regularnie się zawiesza,Aplikacje biznesowe,Aplikacje biznesowe,True,Średni,Średni,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T022,System magazynowy blokuje się przy inwentaryzacji,Aplikacje biznesowe,Aplikacje biznesowe,True,Wysoki,Wysoki,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T023,Prośba o dostęp do modułu raportowania w CRM,Aplikacje biznesowe,Konto i dostęp,False,Niski,Niski,True,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T024,Integracja CRM z systemem fakturowania nie działa,Aplikacje biznesowe,Aplikacje biznesowe,True,Średni,Średni,True,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T025,Prośba o konfigurację drukarki sieciowej,Sprzęt komputerowy,Sprzęt komputerowy,True,Niski,Niski,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T026,Monitor nie wyświetla obrazu,Sprzęt komputerowy,Sprzęt komputerowy,True,Średni,Średni,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T027,Laptop nie ładuje się,Sprzęt komputerowy,Sprzęt komputerowy,True,Średni,Średni,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T028,Klawiatura bezprzewodowa nie działa,Sprzęt komputerowy,Sprzęt komputerowy,True,Średni,Średni,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T029,Stacja dokująca nie ładuje laptopa,Sprzęt komputerowy,Sprzęt komputerowy,True,Niski,Średni,False,5,Dopasowano 4/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T030,Drukarka regularnie zacina papier,Sprzęt komputerowy,Sprzęt komputerowy,True,Niski,Niski,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T031,Mysz komputerowa nie reaguje na ruch,Sprzęt komputerowy,Sprzęt komputerowy,True,Niski,Średni,False,5,Dopasowano 2/4 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T032,Komputer nie uruchamia się — nie mogę pracować,Sprzęt komputerowy,Sprzęt komputerowy,True,Wysoki,Wysoki,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T033,Nie można wysłać wiadomości e-mail przez Outlook,Poczta e-mail,Poczta e-mail,True,Średni,Średni,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T034,Skrzynka pocztowa jest pełna,Poczta e-mail,Poczta e-mail,True,Niski,Średni,False,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T035,Poczta nie synchronizuje się na telefonie służbowym,Poczta e-mail,Poczta e-mail,True,Niski,Średni,False,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T036,Nie można otworzyć załącznika w e-mailu,Poczta e-mail,Poczta e-mail,True,Niski,Średni,False,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T037,Outlook nie uruchamia się po aktualizacji Office,Poczta e-mail,Aplikacje biznesowe,False,Średni,Średni,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T038,Cały dział marketingu nie odbiera poczty e-mail,Poczta e-mail,Poczta e-mail,True,Krytyczny,Krytyczny,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T039,Skrzynka zalewana setkami wiadomości spam,Poczta e-mail,Poczta e-mail,True,Niski,Średni,False,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T040,Podejrzany e-mail z prośbą o dane logowania,Bezpieczeństwo,Bezpieczeństwo,True,Wysoki,Wysoki,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T041,Podejrzany link w wiadomości od współpracownika,Bezpieczeństwo,Bezpieczeństwo,True,Wysoki,Wysoki,True,5,Dopasowano 2/4 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T042,Antywirus wykrył wirusa na stacji roboczej,Bezpieczeństwo,Bezpieczeństwo,True,Wysoki,Średni,False,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T043,Podejrzana aktywność na koncie użytkownika,Bezpieczeństwo,Konto i dostęp,False,Wysoki,Średni,False,3,Brak dopasowania słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T044,Ransomware zablokował pliki na dysku sieciowym,Bezpieczeństwo,Bezpieczeństwo,True,Krytyczny,Wysoki,False,4,Dopasowano 1/6 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T045,Nieautoryzowany dostęp do systemu produkcyjnego,Bezpieczeństwo,Bezpieczeństwo,True,Krytyczny,Wysoki,False,4,Dopasowano 2/6 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T046,Pracownik kliknął podejrzany link w e-mailu,Bezpieczeństwo,Bezpieczeństwo,True,Wysoki,Wysoki,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T047,Prośba o szkolenie z bezpieczeństwa IT,Bezpieczeństwo,Bezpieczeństwo,True,Niski,Niski,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T048,Windows nie uruchamia się — blue screen,System operacyjny,Sprzęt komputerowy,False,Wysoki,Średni,False,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T049,Aktualizacja Windows zablokowała system,System operacyjny,System operacyjny,True,Wysoki,Średni,False,5,Dopasowano 4/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T050,Sterownik karty graficznej nie działa po aktualizacji,System operacyjny,System operacyjny,True,Średni,Średni,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T051,System operacyjny działa bardzo wolno po aktualizacji,System operacyjny,Sprzęt komputerowy,False,Niski,Średni,False,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T052,Windows wymaga aktywacji i blokuje pracę,System operacyjny,System operacyjny,True,Wysoki,Wysoki,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T053,Prośba o reinstalację systemu operacyjnego,System operacyjny,Sprzęt komputerowy,False,Niski,Niski,True,3,Brak dopasowania słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T054,Awaria systemu u wszystkich po zbiorowej aktualizacji,System operacyjny,Inne,False,Krytyczny,Krytyczny,True,3,Brak dopasowania słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T055,Pytanie o wybór laptopa dla pracownika działu grafiki,Inne,Sprzęt komputerowy,False,Niski,Niski,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T056,Jak sprawdzić swoje uprawnienia w sieci,Inne,Konto i dostęp,False,Niski,Niski,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T057,Zainstalowana aplikacja zewnętrzna przestała działać,Inne,Aplikacje biznesowe,False,Średni,Średni,True,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T058,Coś nie działa na komputerze — ogólny problem techniczny,Inne,Sprzęt komputerowy,False,Niski,Średni,False,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T059,Prośba o backup danych przed wymianą sprzętu,Inne,Sprzęt komputerowy,False,Niski,Niski,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T060,Pomoc w konfiguracji narzędzia Slack na nowym komputerze,Inne,Sprzęt komputerowy,False,Niski,Średni,False,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T061,Problemy z drukowaniem dokumentów z aplikacji ERP,Inne,Aplikacje biznesowe,False,Niski,Średni,False,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T062,Wygasły certyfikat SSL blokuje dostęp do portalu,Bezpieczeństwo,Bezpieczeństwo,True,Wysoki,Wysoki,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T063,Brak możliwości drukowania przez VPN w biurze zdalnym,Sieć i VPN,Sieć i VPN,True,Średni,Średni,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T064,Aplikacja Microsoft 365 wymaga odnowienia licencji,Aplikacje biznesowe,Aplikacje biznesowe,True,Wysoki,Średni,False,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
